type,gender,vage,age,ageg,region,ee,num,cost
B,M,1,56,6,SZ,1.318,1,910
B,M,1,56,6,TJ,4.426,4,1853
B,M,1,56,6,CQ,18.249,20,61066
B,M,1,57,6,BJ,225.804,148,336602.59
B,M,1,57,6,SH,36.208,22,24446.1
B,M,1,57,6,SZ,3.574,1,1400
B,M,1,57,6,TJ,10.997,5,21029
B,M,1,57,6,CQ,22.54,15,36611.2
B,M,1,58,6,BJ,210.17,160,377381.58
B,M,1,58,6,SH,21.216,25,18495
B,M,1,58,6,SZ,3.123,0,0
B,M,1,58,6,TJ,4.825,1,850
B,M,1,58,6,CQ,16.981,11,18324.3
B,M,1,59,6,BJ,155.772,100,158459.35
B,M,1,59,6,SH,27.577,23,28937.75
B,M,1,59,6,SZ,3.438,4,4269.55
B,M,1,59,6,TJ,8.09,3,960.5
B,M,1,59,6,CQ,9.786,6,2048.5
B,M,1,60,6,BJ,169.8,120,295171.75
B,M,1,60,6,SH,25.735,19,17916
B,M,1,60,6,SZ,1.551,2,1564
B,M,1,60,6,TJ,5.719,4,7391.6
B,M,1,60,6,CQ,8.987,6,5390.6
B,M,1,61,7,BJ,98.838,58,103439.05
B,M,1,61,7,SH,13.202,8,6906.38
B,M,1,61,7,SZ,1.041,0,0
B,M,1,61,7,TJ,4.951,2,5252.15
B,M,1,61,7,CQ,4.601,4,3790.5
B,M,1,62,7,BJ,60.217,57,100329.75
B,M,1,62,7,SH,9.157,10,11882.5
B,M,1,62,7,SZ,3.508,4,4063
B,M,1,62,7,TJ,3.551,2,2771
B,M,1,62,7,CQ,5.767,6,5974.11
B,M,1,63,7,BJ,59.568,40,61150.7
B,M,1,63,7,SH,9.86,6,9571
B,M,1,63,7,CQ,3.366,1,1530
B,M,1,64,7,BJ,37.03,20,23550.95
B,M,1,64,7,SH,4.675,3,1925.25
B,M,1,64,7,SZ,1,0,0
B,M,1,64,7,TJ,1.008,0,0
B,M,1,64,7,CQ,5.018,3,1647.5
B,M,1,65,7,BJ,25.904,12,27064
B,M,1,65,7,SH,7.358,5,7140
B,M,1,65,7,SZ,1.299,4,18357.4
B,M,1,65,7,CQ,1.4,2,586.5
B,M,1,66,7,BJ,26.068,21,50325.65
